keyphrase	tfidf	cuewords	localspan	cscore	dispersion	keyword
right it doesnt matter	0.0	0.0	0.0	2.0	0.0000000000	False
matter and the extension	0.0	0.0	0.0	2.0	0.0000000000	False
basically we are comparing	0.0	0.0	0.0	2.0	0.0000000000	False
faces of the parallel	0.0	0.0	0.0	2.0	0.0000000000	False
trivially rejected or accepted	0.0	0.0	0.0	2.0	0.0000000000	False
rejected or accepted right	0.0	0.0	0.0	2.0	0.0000000000	False
limitation of this method	0.0	0.0	0.0	2.0	0.0000000000	False
two a rectangular region	0.0	0.0	0.0	2.0	0.0000000000	False
design certain bit code	0.0	0.0	0.0	2.0	0.0000000000	False
convex region for instance	0.0	0.0	0.0	2.0	0.0000000000	False
right doing some kind	0.0	0.0	0.0	2.0	0.0000000000	False
algorithm which is cyrus	0.0	0.0	0.0	2.0	0.0000000000	False
cyrus beck line clipping	0.0	0.0	0.0	2.0	0.0000000000	True
beck line clipping algorithm	0.0	0.0	0.0	2.0	0.0000000000	False
equivalent right in terms	0.0	0.0	0.0	2.0	0.0000000000	False
respect to any convex	0.0	0.0	0.0	2.0	0.0000000000	False
region as a window	0.0	0.0	0.0	2.0	0.0000000000	False
extended for non convex	0.0	0.0	0.0	2.0	0.0000000000	False
line line in question	0.0	0.0	0.0	2.0	0.0000000000	False
representation of a line	0.0	0.0	0.0	2.0	0.0000000000	False
line as lt equals	0.0	0.0	0.0	2.0	0.0000000000	False
line a finite line	0.0	0.0	0.0	2.0	0.0000000000	False
representation of the line	0.0	0.0	0.0	2.0	0.0000000000	False
window i just concern	0.0	0.0	0.0	2.0	0.0000000000	False
respect to the window	0.0	0.0	0.0	4.0	0.0000000000	False
right so i represent	0.0	0.0	0.0	2.0	0.0000000000	False
represent a window edge	0.0	0.0	0.0	2.0	0.0000000000	False
right so implicit representation	0.0	0.0	0.0	2.0	0.0000000000	False
implicit representation basically means	0.0	0.0	0.0	2.0	0.0000000000	False
right its actually giving	0.0	0.0	0.0	2.0	0.0000000000	False
giving me the answer	0.0	0.0	0.0	2.0	0.0000000000	False
answer to the question	0.0	0.0	0.0	2.0	0.0000000000	False
question on which side	0.0	0.0	0.0	4.0	0.0000000000	False
side of the line	0.0	0.0	2.99724517906	6.0	0.0000000000	False
normal to the line	0.0	0.0	0.0	2.0	0.0000000000	False
defining for the inside	0.0	0.0	0.0	2.0	0.0000000000	False
inside of the line	0.0	0.0	0.0	2.0	0.0000000000	False
observed in line drawing	0.0	0.0	0.0	2.0	0.0000000000	False
question of the location	0.0	0.0	0.0	2.0	0.0000000000	False
location of the midpoint	0.0	0.0	0.0	2.0	0.0000000000	False
respect to the line	0.0	0.0	0.0	2.0	0.0000000000	False
representation which actually enables	0.0	0.0	0.0	2.0	0.0000000000	False
enables me to answer	0.0	0.0	0.0	2.0	0.0000000000	False
point on the line	0.0	0.0	0.0	2.0	0.0000000000	False
sort of the side	0.0	0.0	0.0	2.0	0.0000000000	False
distance of the point	0.0	0.0	0.0	2.0	0.0000000000	False
right and the sign	0.0	0.0	0.0	2.0	0.0000000000	False
side or that side	0.0	0.0	0.0	4.0	0.0000000000	False
line to be clipped	0.0	0.0	0.0	2.0	0.0000000000	False
clipping in a implicit	0.0	0.0	0.0	2.0	0.0000000000	False
designing the clipping algorithms	0.0	0.0	0.0	2.0	0.0000000000	False
equation of the line	0.0	0.0	0.0	2.0	0.0000000000	False
out that this point	0.0	0.0	0.0	2.0	0.0000000000	False
greater than zero right	0.0	0.0	0.0	4.0	0.0000000000	False
size of the line	0.0	0.0	0.0	2.0	0.0000000000	False
inside and outside right	0.0	0.0	0.0	2.0	0.0000000000	False
define this normal line	0.0	0.0	0.0	2.0	0.0000000000	False
similar kind of representation	0.0	0.0	0.0	2.0	0.0000000000	False
representation for half space	0.0	0.0	0.0	2.0	0.0000000000	False
point towards the inside	0.0	0.0	0.0	2.0	0.0000000000	False
space of the line	0.0	0.0	0.0	4.0	0.0000000000	False
fact if you recall	0.0	0.0	0.0	2.0	0.0000000000	False
design this trivial rejection	0.0	0.0	0.0	2.0	0.0000000000	False
rejection and trivial acceptance	0.0	0.0	0.0	2.0	0.0000000000	False
case of a cohen	0.0	0.0	0.0	2.0	0.0000000000	False
indication for trivial acceptance	0.0	0.0	0.0	2.0	0.0000000000	False
acceptance and trivial rejection	0.0	0.0	0.0	2.0	0.0000000000	False
instance if i trigger	0.0	0.0	0.0	2.0	0.0000000000	False
out that the point	0.0	0.0	0.0	2.0	0.0000000000	False
window then the point	0.0	0.0	0.0	2.0	0.0000000000	False
right then the line	0.0	0.0	0.0	2.0	0.0000000000	False
right this is equivalent	0.0	0.0	0.0	2.0	0.0000000000	False
acceptance of the cohen	0.0	0.0	0.0	2.0	0.0000000000	False
similarly for the rejection	0.0	0.0	0.0	2.0	0.0000000000	False
basically that bit code	0.0	0.0	0.0	2.0	0.0000000000	False
respect to the half	0.0	0.0	0.0	2.0	0.0000000000	False
define by the window	0.0	0.0	0.0	2.0	0.0000000000	False
figure out the line	0.0	0.0	0.0	2.0	0.0000000000	False
respect to one line	0.0	0.0	0.0	2.0	0.0000000000	False
two end point happen	0.0	0.0	0.0	2.0	0.0000000000	False
suggest is window edge	0.0	0.0	0.0	2.0	0.0000000000	False
equal to q minus	0.0	0.0	0.0	2.0	0.0000000000	False
give in parametric representation	0.0	0.0	0.0	2.0	0.0000000000	False
basically answers your question	0.0	0.0	0.0	2.0	0.0000000000	False
line as such inside	0.0	0.0	0.0	2.0	0.0000000000	False
looked at the cases	0.0	0.0	0.0	2.0	0.0000000000	False
basically right now addressing	0.0	0.0	0.0	2.0	0.0000000000	False
right now addressing question	0.0	0.0	0.0	2.0	0.0000000000	False
question of with respect	0.0	0.0	0.0	2.0	0.0000000000	False
respect to one window	0.0	0.0	0.0	2.0	0.0000000000	False
edge so this inside	0.0	0.0	0.0	2.0	0.0000000000	False
run through with respect	0.0	0.0	0.0	2.0	0.0000000000	False
case we have resolve	0.0	0.0	0.0	2.0	0.0000000000	False
happen in the case	0.0	0.0	0.0	2.0	0.0000000000	False
things in a sort	0.0	0.0	0.0	2.0	0.0000000000	False
edge in the implicit	0.0	0.0	0.0	2.0	0.0000000000	False
implicit form then finding	0.0	0.0	0.0	2.0	0.0000000000	False
intersects the particular window	0.0	0.0	0.0	2.0	0.0000000000	False
right which basically requires	0.0	0.0	0.0	2.0	0.0000000000	False
requires you to find	0.0	0.0	0.0	2.0	0.0000000000	False
find out this point	0.0	0.0	0.0	4.0	0.0000000000	False
out by just substituting	0.0	0.0	0.0	2.0	0.0000000000	False
terms i can figure	0.0	0.0	0.0	2.0	0.0000000000	False
figure out this equation	0.0	0.0	0.0	2.0	0.0000000000	False
determine as a minus	0.0	0.0	0.0	2.0	0.0000000000	False
divided by a minus	0.0	0.0	0.0	2.0	0.0000000000	False
right like this right	0.0	0.0	0.0	2.0	0.0000000000	False
question of this right	0.0	0.0	0.0	2.0	0.0000000000	False
equation of q minus	0.0	0.0	0.0	2.0	0.0000000000	False
computational aspect is concerned	0.0	0.0	0.0	2.0	0.0000000000	False
deciding my trivial acceptance	0.0	0.0	0.0	2.0	0.0000000000	False
trivial acceptance antitrivally rejection	0.0	0.0	0.0	2.0	0.0000000000	False
acceptance antitrivally rejection cases	0.0	0.0	0.0	2.0	0.0000000000	False
reuse them i dont	0.0	0.0	0.0	2.0	0.0000000000	False
dont have to recomputed	0.0	0.0	0.0	2.0	0.0000000000	False
right what will happen	0.0	0.0	0.0	2.0	0.0000000000	False
edge the next stage	0.0	0.0	0.0	2.0	0.0000000000	False
redefine this end points	0.0	0.0	0.0	2.0	0.0000000000	False
circle of my edges	0.0	0.0	0.0	2.0	0.0000000000	False
right at the end	0.0	0.0	0.0	2.0	0.0000000000	False
end of the lambda	0.0	0.0	0.0	2.0	0.0000000000	False
form of the window	0.0	0.0	0.0	2.0	0.0000000000	False
doesnt matter what shape	0.0	0.0	0.0	2.0	0.0000000000	False
right so it doesnt	0.0	0.0	0.0	2.0	0.0000000000	False
restricted to rectangular shape	0.0	0.0	0.0	2.0	0.0000000000	False
shape of the window	0.0	0.0	0.0	2.0	0.0000000000	False
window i can apply	0.0	0.0	0.0	2.0	0.0000000000	False
updating my end points	0.0	0.0	0.0	2.0	0.0000000000	False
find out the point	0.0	0.0	0.0	4.0	0.0000000000	False
four intersections with respect	0.0	0.0	0.0	2.0	0.0000000000	False
rectangular window with respect	0.0	0.0	0.0	2.0	0.0000000000	False
respect to each edge	0.0	0.0	0.0	2.0	0.0000000000	False
right now the question	0.0	0.0	3.99724517906	6.0	0.0000000000	False
find out these point	0.0	0.0	0.0	2.0	0.0000000000	False
intersection of this line	0.0	0.0	0.0	2.0	0.0000000000	False
four in this case	0.0	0.0	0.0	2.0	0.0000000000	False
obtain can i suggest	0.0	0.0	0.0	2.0	0.0000000000	False
rejection of the segment	0.0	0.0	0.0	2.0	0.0000000000	False
displayed within the window	0.0	0.0	0.0	2.0	0.0000000000	False
four point of intersection	0.0	0.0	0.0	2.0	0.0000000000	False
label that this portion	0.0	0.0	0.0	2.0	0.0000000000	False
swipe this a minus	0.0	0.0	0.0	2.0	0.0000000000	False
minus a and put	0.0	0.0	0.0	2.0	0.0000000000	False
put a negative sign	0.0	0.0	0.0	2.0	0.0000000000	False
negative sign in front	0.0	0.0	0.0	2.0	0.0000000000	False
sort of a notion	0.0	0.0	0.0	2.0	0.0000000000	False
direction if i give	0.0	0.0	0.0	2.0	0.0000000000	False
lets try to evaluate	0.0	0.0	0.0	2.0	0.0000000000	False
evaluate this denominator term	0.0	0.0	0.0	2.0	0.0000000000	False
sign of this right	0.0	0.0	0.0	2.0	0.0000000000	False
right so i label	0.0	0.0	0.0	2.0	0.0000000000	False
region for this edge	0.0	0.0	0.0	2.0	0.0000000000	False
sense leaving that region	0.0	0.0	0.0	2.0	0.0000000000	False
select right any suggestion	0.0	0.0	0.0	2.0	0.0000000000	False
segment to be clipped	0.0	0.0	0.0	2.0	0.0000000000	False
evaluation of intersection point	0.0	0.0	0.0	2.0	0.0000000000	False
happening in this case	0.0	0.0	0.0	2.0	0.0000000000	False
right so the evaluation	0.0	0.0	0.0	2.0	0.0000000000	False
max and tl min	0.0	0.0	0.0	2.0	0.0000000000	False
basically based on finding	0.0	0.0	0.0	2.0	0.0000000000	False
based on finding out	0.0	0.0	0.0	2.0	0.0000000000	False
restriction to the shape	0.0	0.0	0.0	2.0	0.0000000000	False
two is the line	0.0	0.0	0.0	2.0	0.0000000000	False
clipping of this line	0.0	0.0	0.0	2.0	0.0000000000	False
give you a shape	0.0	0.0	0.0	2.0	0.0000000000	False
clipping again that shape	0.0	0.0	0.0	2.0	0.0000000000	False
product of the adjutants	0.0	0.0	0.0	4.0	0.0000000000	False
thing which is coming	0.0	0.0	0.0	2.0	0.0000000000	False
out of this plane	0.0	0.0	0.0	2.0	0.0000000000	False
plane is positive right	0.0	0.0	0.0	2.0	0.0000000000	False
two is positive right	0.0	0.0	0.0	2.0	0.0000000000	False
edges pair of edges	0.0	0.0	0.0	2.0	0.0000000000	False
right so it turns	0.0	0.0	0.0	2.0	0.0000000000	False
chosen a different convention	0.0	0.0	0.0	2.0	0.0000000000	False
out that the cross	0.0	0.0	0.0	2.0	0.0000000000	False
right then i declared	0.0	0.0	0.0	2.0	0.0000000000	False
shapeso clearly that whats	0.0	0.0	0.0	2.0	0.0000000000	False
whats where you find	0.0	0.0	0.0	2.0	0.0000000000	False
find the non convexity	0.0	0.0	0.0	2.0	0.0000000000	False
right at this point	0.0	0.0	0.0	2.0	0.0000000000	False
sign at some point	0.0	0.0	0.0	2.0	0.0000000000	False
point all this cross	0.0	0.0	0.0	2.0	0.0000000000	False
product do not give	0.0	0.0	0.0	2.0	0.0000000000	False
shape is non convex	0.0	0.0	0.0	2.0	0.0000000000	False
clipping for a non	0.0	0.0	0.0	2.0	0.0000000000	False
convex polygon or window	0.0	0.0	0.0	2.0	0.0000000000	False
extension of the method	0.0	0.0	0.0	2.0	0.0000000000	False
algorithm as such right	0.0	0.0	0.0	2.0	0.0000000000	False
right so the question	0.0	0.0	0.0	4.0	0.0000000000	False
solving for non convex	0.0	0.0	0.0	2.0	0.0000000000	False
non convex to convex	0.0	0.0	0.0	2.0	0.0000000000	False
sort of a preprocessing	0.0	0.0	0.0	2.0	0.0000000000	False
generate convex polygon out	0.0	0.0	0.0	2.0	0.0000000000	False
polygon such a non	0.0	0.0	0.0	2.0	0.0000000000	False
convex polygon the non	0.0	0.0	0.0	2.0	0.0000000000	False
polygon the non convexity	0.0	0.0	0.0	2.0	0.0000000000	False
correction to that non	0.0	0.0	0.0	2.0	0.0000000000	False
arrive at our solution	0.0	0.0	0.0	2.0	0.0000000000	False
make this polygon convex	0.0	0.0	0.0	2.0	0.0000000000	False
right so making convex	0.0	0.0	0.0	2.0	0.0000000000	False
making convex the polygon	0.0	0.0	0.0	2.0	0.0000000000	False
finding out the convex	0.0	0.0	0.0	4.0	0.0000000000	False
out the convex hull	0.0	0.0	0.0	4.0	0.0000000000	False
hull of the points	0.0	0.0	0.0	2.0	0.0000000000	False
right in this situation	0.0	0.0	0.0	2.0	0.0000000000	False
matter of finding out	0.0	0.0	0.0	2.0	0.0000000000	False
out where the change	0.0	0.0	0.0	2.0	0.0000000000	False
change of sine occur	0.0	0.0	0.0	2.0	0.0000000000	False
convex but this situation	0.0	0.0	0.0	2.0	0.0000000000	False
right so you understand	0.0	0.0	0.0	2.0	0.0000000000	False
understand what is convex	0.0	0.0	0.0	2.0	0.0000000000	False
exact algorithm of finding	0.0	0.0	0.0	2.0	0.0000000000	False
algorithm of finding out	0.0	0.0	0.0	2.0	0.0000000000	False
finding out a convex	0.0	0.0	0.0	2.0	0.0000000000	False
out a convex hull	0.0	0.0	0.0	2.0	0.0000000000	False
right the given set	0.0	0.0	0.0	2.0	0.0000000000	False
nails on a floor	0.0	0.0	0.0	2.0	0.0000000000	False
start from a nail	0.0	0.0	0.0	2.0	0.0000000000	False
right and just wrap	0.0	0.0	0.0	2.0	0.0000000000	False
figure out the convex	0.0	0.0	0.0	2.0	0.0000000000	False
out the convex convex	0.0	0.0	0.0	2.0	0.0000000000	False
elaborate algorithm of convex	0.0	0.0	0.0	2.0	0.0000000000	False
algorithm of convex side	0.0	0.0	0.0	2.0	0.0000000000	False
right so we figure	0.0	0.0	0.0	2.0	0.0000000000	False
points to the point	0.0	0.0	0.0	2.0	0.0000000000	False
sign and i join	0.0	0.0	0.0	2.0	0.0000000000	False
clipped i first find	0.0	0.0	0.0	2.0	0.0000000000	False
find out the line	0.0	0.0	0.0	2.0	0.0000000000	False
line which is clipped	0.0	0.0	0.0	4.0	0.0000000000	False
clipped again this polygon	0.0	0.0	0.0	2.0	0.0000000000	False
right the new polygon	0.0	0.0	0.0	2.0	0.0000000000	False
including this blue line	0.0	0.0	0.0	2.0	0.0000000000	False
basically get the points	0.0	0.0	0.0	2.0	0.0000000000	False
polygon which was sort	0.0	0.0	0.0	2.0	0.0000000000	False
additional polygon for making	0.0	0.0	0.0	2.0	0.0000000000	False
making the other polygon	0.0	0.0	0.0	2.0	0.0000000000	False
clipping against this polygon	0.0	0.0	0.0	2.0	0.0000000000	False
right for the resulting	0.0	0.0	0.0	2.0	0.0000000000	False
resulting line i obtain	0.0	0.0	0.0	2.0	0.0000000000	False
point p five right	0.0	0.0	0.0	2.0	0.0000000000	False
clipping of the line	0.0	0.0	0.0	2.0	0.0000000000	False
respect to this polygon	0.0	0.0	0.0	2.0	0.0000000000	False
line to my interest	0.0	0.0	0.0	2.0	0.0000000000	False
right so basically applying	0.0	0.0	0.0	2.0	0.0000000000	False
applying the same convex	0.0	0.0	0.0	2.0	0.0000000000	False
preprocessing and post processing	0.0	0.0	0.0	2.0	0.0000000000	False
clipped against the polygon	0.0	0.0	0.0	2.0	0.0000000000	False
polygon which is inside	0.0	0.0	0.0	2.0	0.0000000000	False
right so in fact	0.0	0.0	0.0	2.0	0.0000000000	False
interior clipping to find	0.0	0.0	0.0	2.0	0.0000000000	False
exterior clipping that means	0.0	0.0	0.0	2.0	0.0000000000	False
clipping and exterior clipping	0.0	0.0	0.0	2.0	0.0000000000	False
exterior clipping means applied	0.0	0.0	0.0	2.0	0.0000000000	False
happen to your window	0.0	0.0	0.0	2.0	0.0000000000	False
right so one window	0.0	0.0	0.0	2.0	0.0000000000	False
window overlays other window	0.0	0.0	0.0	2.0	0.0000000000	False
display from the window	0.0	0.0	0.0	2.0	0.0000000000	False
basically a cover line	0.0	0.0	0.0	2.0	0.0000000000	False
clipping right with respect	0.0	0.0	0.0	2.0	0.0000000000	False
respect to a polygon	0.0	0.0	0.0	2.0	0.0000000000	False
non convex for simple	0.0	0.0	0.0	2.0	0.0000000000	False
convex for simple non	0.0	0.0	0.0	2.0	0.0000000000	False
apply a modified version	0.0	0.0	0.0	2.0	0.0000000000	False
asked is lets move	0.0	0.0	0.0	2.0	0.0000000000	False
primitive right we started	0.0	0.0	0.0	2.0	0.0000000000	False
polygon as an input	0.0	0.0	0.0	4.0	0.0000000000	False
clipping of this polygon	0.0	0.0	0.0	2.0	0.0000000000	False
polygon against the window	0.0	0.0	0.0	2.0	0.0000000000	False
extend the line algorithm	0.0	0.0	0.0	2.0	0.0000000000	False
algorithm to do polygon	0.0	0.0	0.0	2.0	0.0000000000	False
clipping and the answer	0.0	0.0	0.0	2.0	0.0000000000	False
talked about the cyrus	0.0	0.0	0.0	2.0	0.0000000000	False
cyrus beck liang barsky	0.0	0.0	0.0	2.0	0.0000000000	False
beck liang barsky algorithm	0.0	0.0	0.0	2.0	0.0000000000	False
liang barsky algorithm line	0.0	0.0	0.0	2.0	0.0000000000	False
barsky algorithm line algorithm	0.0	0.0	0.0	2.0	0.0000000000	False
right as the lines	0.0	0.0	0.0	2.0	0.0000000000	False
find out the clipping	0.0	0.0	0.0	2.0	0.0000000000	False
faces of that volume	0.0	0.0	0.0	2.0	0.0000000000	False
right but the test	0.0	0.0	0.0	2.0	0.0000000000	False
basically answering the question	0.0	0.0	0.0	2.0	0.0000000000	False
respect to a line	0.0	0.0	0.0	2.0	0.0000000000	False
respect to the plane	0.0	0.0	0.0	2.0	0.0000000000	False
sign of that computation	0.0	0.0	0.0	2.0	0.0000000000	False
two d right non	0.0	0.0	0.0	2.0	0.0000000000	False
right non convex regions	0.0	0.0	0.0	2.0	0.0000000000	False
difficult making them convex	0.0	0.0	0.0	2.0	0.0000000000	False
talking about clipping	0.00144899876877	0.0	0.0	1.58496250072	0.0000000000	False
make a sort	0.00205776065758	0.0	0.0	1.58496250072	0.0000000000	False
primitive is inside	0.00167367466909	0.0	0.0	1.58496250072	0.0000000000	False
inside the window	0.0159389864564	0.0	5.9898989899	17.4345875079	0.4489795918	False
decide to displayed	0.00205776065758	0.0	0.0	1.58496250072	0.0000000000	False
instance we looked	0.00205776065758	0.0	0.0	1.58496250072	0.0000000000	False
point clipping right	0.0	0.0	0.0	1.58496250072	0.0000000000	False
right the point	0.0	0.0	0.0	0.0	0.0000000000	False
wanted to answer	0.00205776065758	0.0	0.0	1.58496250072	0.0000000000	False
answer the question	0.00745438946195	0.0	3.99357208448	9.50977500433	0.3540229885	False
point is inside	0.00289799753754	0.0	0.0	3.16992500144	0.0000000000	False
purpose of simplicity	0.00167367466909	0.0	0.0	1.58496250072	0.0000000000	False
easily be answered	0.00205776065758	0.0	0.0	1.58496250072	0.0000000000	False
window to decide	0.00205776065758	0.0	0.0	1.58496250072	0.0000000000	False
possibilities of extending	0.00205776065758	0.0	0.0	1.58496250072	0.0000000000	False
extending this idea	0.0012895886806	0.0	0.0	1.58496250072	0.0000000000	False
idea of clipping	0.00167367466909	0.0	0.0	1.58496250072	0.0000000000	False
clipping a point	0.00167367466909	0.0	0.0	1.58496250072	0.0000000000	False
line just applying	0.00205776065758	0.0	0.0	1.58496250072	0.0000000000	False
line is inside	0.00724499384384	0.0	3.99540863177	7.92481250361	0.3886925795	False
two end points	0.0	0.0	16.9853076217	23.7744375108	0.3450980392	False
suggested by cohen	0.00205776065758	0.0	0.0	1.58496250072	0.0000000000	False
cohen and sutherland	0.0117157226836	0.0	4.99357208448	7.92481250361	0.4438040346	True
inside that window	0.00205776065758	0.0	0.0	1.58496250072	0.0000000000	False
give a bit	0.00205776065758	0.0	0.0	0.0	0.0000000000	False
divides the scheme	0.00205776065758	0.0	0.0	1.58496250072	0.0000000000	False
reject the line	0.00617328197273	0.0	1.99724517906	3.16992500144	0.0000000000	False
points are inside	0.00167367466909	0.0	0.0	1.58496250072	0.0000000000	False
taking an add	0.00205776065758	0.0	0.0	1.58496250072	0.0000000000	False
non zero bit	0.0	0.0	0.0	0.0	0.0000000000	False
rejected trivially rejected	0.00205776065758	0.0	0.0	1.58496250072	0.0000000000	False
acceptance and rejection	0.00205776065758	0.0	0.0	0.0	0.0000000000	False
points i found	0.00205776065758	0.0	0.0	0.0	0.0000000000	False
trivial rejection criteria	0.00411552131515	0.0	0.0	1.58496250072	0.0000000000	False
rejection criteria doesnt	0.00205776065758	0.0	0.0	0.0	0.0000000000	False
doesnt get satisfied	0.00205776065758	0.0	0.0	0.0	0.0000000000	False
out the intersection	0.00411552131515	0.0	0.0	1.58496250072	0.0000000000	False
subdivide that line	0.00205776065758	0.0	0.0	1.58496250072	0.0000000000	False
satisfying the trivial	0.00205776065758	0.0	0.0	0.0	0.0000000000	False
out the segments	0.00167367466909	0.0	0.0	0.0	0.0000000000	False
segments for trivial	0.00205776065758	0.0	0.0	0.0	0.0000000000	False
rejection and acceptance	0.00167367466909	0.0	0.0	0.0	0.0000000000	False
right just checking	0.0	0.0	0.0	0.0	0.0000000000	False
limitation of rectangular	0.00167367466909	0.0	0.0	0.0	0.0000000000	False
right it doesnt	0.0	0.0	0.0	0.0	0.0000000000	False
fairly straight forward	0.00167367466909	0.0	0.0	1.58496250072	0.0000000000	False
four bit opcode	0.0	0.0	0.0	1.58496250072	0.0000000000	False
parallel pipe structure	0.00205776065758	0.0	0.0	1.58496250072	0.0000000000	False
rejected or accepted	0.00167367466909	0.0	0.0	0.0	0.0000000000	False
resolve certain limitation	0.00205776065758	0.0	0.0	1.58496250072	0.0000000000	False
two a rectangular	0.0	0.0	0.0	0.0	0.0000000000	False
design certain bit	0.00205776065758	0.0	0.0	0.0	0.0000000000	False
region for instance	0.00205776065758	0.0	0.0	0.0	0.0000000000	False
general convex polygon	0.00411552131515	0.0	0.0	1.58496250072	0.0000000000	False
popular clipping algorithm	0.00205776065758	0.0	0.0	1.58496250072	0.0000000000	False
cyrus beck line	0.00205776065758	0.0	0.0	0.0	0.0000000000	False
beck line clipping	0.00205776065758	0.0	0.0	0.0	0.0000000000	False
line clipping algorithm	0.00205776065758	0.0	0.0	0.0	0.0000000000	False
liang and barsky	0.00205776065758	0.0	0.0	1.58496250072	0.0000000000	True
sort of equivalent	0.00205776065758	0.0	0.0	1.58496250072	0.0000000000	False
right in terms	0.0	0.0	0.0	0.0	0.0000000000	False
applied with respect	0.00205776065758	0.0	0.0	1.58496250072	0.0000000000	False
extended for non	0.0	0.0	0.0	0.0	0.0000000000	False
non convex regions	0.0	0.0	0.0	1.58496250072	0.0000000000	False
line in question	0.0043469963063	0.0	0.997245179063	3.16992500144	0.0000000000	False
represent this line	0.00167367466909	0.0	0.0	1.58496250072	0.0000000000	False
