keyphrase	dispersion	Frequency Occurance Ratio	cuewords	Contiguous Occurance Ratio	tfidf	Phrase Size	localspan	cscore	keyword
four basis of dna	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
comprised of four basis	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
bit different the rna	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
rna is then translated	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
translated to the protein	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
alphabet of dna rna	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
dna rna and protein	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
letters to the alphabet	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
alphabet the four letters	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
four letters that comprise	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
contents of nucleic acids	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
nucleic acids the structure	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
comprised of these letters	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
nitrogenous basis the protein	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
basis the protein alphabet	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
alphabet is a bit	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
bit different the protein	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
alphabet is some times	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
letter code the protein	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
code the protein alphabet	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
protein alphabet is comprised	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
comprised of twenty unique	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
understand what an amino	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
acid the first thing	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
proteins are actually made	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
made of proteins consist	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
proteins consist of amino	0.0000000000	0.0681818181818	0.0	0.108065625049	0.0	1	0.0	2.0	False
consist of amino acids	0.0000000000	0.0681818181818	0.0	0.108065625049	0.0	1	0.0	2.0	False
acids that are linked	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
linked by peptide bonds	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	4.0	False
bonds we will understand	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
bond is actually formed	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
letters together into forming	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
sentence each amino acids	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
marked as c alpha	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	4.0	False
atom that is marked	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
recognize an amino group	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
chain of the amino	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	4.0	False
hydrogen group the hydrogen	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
group the hydrogen atom	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	4.0	False
common to all amino	0.0000000000	0.0	0.0	0.0	0.0	0.0	1.9976284585	6.0	False
acids is this part	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
asymmetric which again means	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
four different groups attached	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	4.0	False
common set of groups	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
amino group the hydrogen	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
atom and the carboxyl	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
carboxyl group what differs	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
differs is this side	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
distinguishes the various amino	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
types of r groups	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	4.0	False
forms of amino acids	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
proteins as we mentioned	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
form usually l amino	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
amino acids are incorporated	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
proteins now you understand	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
understand that these side	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
chains the r group	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
group can now differ	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
differ in its size	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
size it can differ	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
differ in it shape	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
shape it can differ	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
differ in its polarity	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
twenty common amino acids	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	4.0	False
groups with distinct properties	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
distinct properties of size	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
properties of size shape	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
size shape and polarity	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
amino acid side chain	0.0000000000	0.136363636364	0.0	0.352494886462	0.0	1	0.0	4.0	False
side chain by group	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
group in each case	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
code of the amino	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
remember what the side	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
listed here is glycine	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
glycine and proline glycine	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
proline glycine and proline	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
proline are unique amino	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
amino acids in ways	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
atom makes the carbon	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
carbon central carbon atom	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
carbon atom um atom	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
two edge atoms attached	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
side chain of glycine	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
written the amino acids	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
acids we have written	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
deu to pk value	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
class and this amino	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
amino group is protonated	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
atom to it making	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
form of the amino	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
acid it is written	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
written as zwitterionic form	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
represented in this fashion	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	4.0	False
zwitterion it is represented	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
represent the amino acids	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	4.0	False
amino acid is proline	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
distinct r group attached	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
group is actually linked	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
alpha with the hydrogen	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
two ch two benzone	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
acids that are unique	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
unique in their features	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
acid because the side	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
mentioned when we represent	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
amino acids we represent	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
form where we write	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
group of amino acids	0.5681818182	0.0	0.0	0.0	0.0	0.0	4.995256917	12.0	False
amino acids hydrophobic amino	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
acids hydrophobic amino acids	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
acids are those amino	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
acids that are comprised	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
carbon atoms and hydrogen	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
atoms and hydrogen atoms	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
atoms in their side	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	4.0	False
solvent usually the solvent	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
water or water based	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
simplest one of side	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
side chain is alanine	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
chain is alanine alanine	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
alanine the three letter	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
letter code is ala	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
chain is a methyl	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
group and you recognize	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
zwitterionic representation of amino	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
representation of amino acid	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	4.0	False
valine valine is beta	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
valine is beta branched	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
branched at the gama	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
alpha the next atom	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
representation of the amino	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	4.0	False
gama and um attached	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
deltas one is represented	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
two in the alanine	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
code actually be represented	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
manner where each amino	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
amino acid this part	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
chain could be represented	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
represented by the types	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
atoms that are attached	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
beta carbon one methyl	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
carbon one methyl group	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
group and one ethyl	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
hydrogen only which make	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
hydrophobic in nature methionine	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
nature methionine can fall	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
fall into this category	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
atom and a methyl	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
attached to the sulphur	0.0000000000	0.0	0.0	0.0	0.0	0.0	5.9976284585	6.0	False
beta a c gama	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	4.0	False
two to c gama	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
long with another amino	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
two sulphur containing amino	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
sulphur containing amino acids	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
oxygen or a nitrogen	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
nitrogen in the side	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	4.0	False
side chain these hetero	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
chain these hetero atoms	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
atoms they can participate	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
participate in polar interactions	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
extremely important in non	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
important in non covalent	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
covalent interactions in proteins	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
hold a protein fold	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
protein chain the amino	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
chain the amino acid	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
solvent and this interaction	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
oxygen and nitrogen atoms	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
atoms they are comprised	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
comprised of two interact	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
contrast the hydrophobic amino	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
surface of the protein	0.4273504274	0.0	0.0	0.0	0.0	0.0	3.99683794466	8.0	False
side chains are preferred	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
chains that are preferred	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
side chains that comprise	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
comprise this polar group	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
polar group of amino	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	4.0	False
oxygen or hydrogen attached	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
part of each amino	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
amino acid the asparagine	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
acid the asparagine side	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
chain in the asparagine	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
chain and the glutamine	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
amide groups amide groups	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
groups so this comprises	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
chain is one carbon	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
longer then the asparagine	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
attached to the alpha	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
carbon that has attached	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
attached with an oxygen	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
two so this amide	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
beta i mean carbon	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
two ch two moiety	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
alpha a c beta	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
gama a c delta	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
two and the oxygen	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
oxygen and the nitrogen	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
happen is this oxygen	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
nitrogen similarly in glutamine	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
donor or an acceptor	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
participate in hydrogen bonding	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	4.0	False
amino acid the group	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
threamine is next amino	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
acid it has attached	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
attached to the beta	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
amino acid is cysteine	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
acid is cysteine cysteine	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
attached a methyl group	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
making this a ethyl	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
enzymes and the enzyme	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
polarity or specific properties	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
properties of this side	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
common amino acid part	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
part here in histidine	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
part of the amidazole	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
acids is all side	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
side chains that belong	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
belong to this group	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
atom the next group	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
group of side chains	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
amino acids we looked	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
found in the aspargine	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
acid so the asparagine	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
carboxylic acid similarly glutamine	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
acid so we group	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
acids and we call	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
call the specific acids	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
specific acids aspartic acid	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
acid which gives rise	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	4.0	False
rise to a asparagine	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
asparagine and glutamic acid	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
bond o o minus	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	4.0	False
carboxylic acid that comprises	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
acids this is part	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
group the side chain	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
chain so the side	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
chain in this case	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	4.0	False
minus similarly the side	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
similarly the side chain	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
chain and glutamic acid	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
case of glutamic acid	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
written here in addition	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
value we will learn	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
information if the pka	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
means that pka value	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
value of this amino	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
pka of this group	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
acid can not remain	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
protonated so these comprised	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
amino acids it means	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
side chain of lysine	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
side chain of asparagine	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
carefully at the side	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
two pka values written	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
pka values these pka	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
values these pka values	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
reached the pka value	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
proton a pka value	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
discuss in our subsequent	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
common part amino group	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
amino acid in arginine	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
part of the side	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
nitrogen here a nitrogen	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
acidic and basic amino	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	4.0	False
basic amino acid residues	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
structures of the amino	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	4.0	False
specific groupings the groupings	0.0000000000	0.0	0.0	0.0	0.0	0.0	0.0	2.0	False
